L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.5, 1, 12, 15, 32, 0.390294117647
40, 6.0, 1, 10, 15, 32, 0.388823529412
40, 4.5, 1, 17, 15, 32, 0.357647058824
40, 5.0, 1, 11, 15, 32, 0.355294117647
40, 8.5, 1, 18, 15, 32, 0.552058823529
40, 1.5, 1, 18, 15, 32, 0.395
40, 4.0, 1, 1, 15, 32, 0.430588235294
40, 0.5, 1, 8, 15, 32, 0.426470588235
40, 8.5, 1, 1, 15, 32, 0.503823529412
40, 3.5, 1, 4, 15, 32, 0.416470588235
40, 1.5, 1, 6, 15, 32, 0.412647058824
40, 3.0, 1, 12, 15, 32, 0.392058823529
40, 1.5, 1, 17, 15, 32, 0.382941176471
40, 8.5, 1, 19, 15, 32, 0.545
40, 0.5, 1, 15, 15, 32, 0.381470588235
40, 8.0, 1, 13, 15, 32, 0.486176470588
40, 8.0, 1, 1, 15, 32, 0.473529411765
40, 2.0, 1, 2, 15, 32, 0.406176470588
40, 0.0, 1, 17, 15, 32, 0.389411764706
40, 1.5, 1, 8, 15, 32, 0.418823529412
40, 2.5, 1, 16, 15, 32, 0.367647058824
40, 7.0, 1, 8, 15, 32, 0.436470588235
40, 7.0, 1, 4, 15, 32, 0.420588235294
40, 6.0, 1, 20, 15, 32, 0.396470588235
40, 6.0, 1, 9, 15, 32, 0.404117647059
40, 6.0, 1, 5, 15, 32, 0.396176470588
40, 2.5, 1, 4, 15, 32, 0.446176470588
40, 3.5, 1, 14, 15, 32, 0.391470588235
40, 5.5, 1, 15, 15, 32, 0.382941176471
40, 5.0, 1, 19, 15, 32, 0.376176470588
40, 5.0, 1, 12, 15, 32, 0.349705882353
40, 4.5, 1, 19, 15, 32, 0.373823529412
40, 2.5, 1, 9, 15, 32, 0.397352941176
40, 0.0, 1, 16, 15, 32, 0.411176470588
40, 10.0, 1, 9, 15, 32, 0.723529411765
40, 5.5, 1, 16, 15, 32, 0.4
40, 3.0, 1, 19, 15, 32, 0.367941176471
40, 9.0, 1, 4, 15, 32, 0.561176470588
40, 7.5, 1, 6, 15, 32, 0.462058823529
40, 0.0, 1, 20, 15, 32, 0.405588235294
40, 8.0, 1, 17, 15, 32, 0.492058823529
40, 8.0, 1, 5, 15, 32, 0.500588235294
40, 7.0, 1, 5, 15, 32, 0.395294117647
40, 1.5, 1, 1, 15, 32, 0.377647058824
40, 7.0, 1, 20, 15, 32, 0.442647058824
40, 0.5, 1, 14, 15, 32, 0.377058823529
40, 6.0, 1, 4, 15, 32, 0.413235294118
40, 8.5, 1, 7, 15, 32, 0.567352941176
40, 0.5, 1, 11, 15, 32, 0.443529411765
40, 1.5, 1, 20, 15, 32, 0.387941176471
40, 9.5, 1, 1, 15, 32, 0.576470588235
40, 5.0, 1, 20, 15, 32, 0.369411764706
40, 1.5, 1, 7, 15, 32, 0.419411764706
40, 8.5, 1, 10, 15, 32, 0.556176470588
40, 2.5, 1, 20, 15, 32, 0.383823529412
40, 4.0, 1, 2, 15, 32, 0.413823529412
40, 10.0, 1, 8, 15, 32, 0.745294117647
40, 10.0, 1, 13, 15, 32, 0.752058823529
40, 1.5, 1, 10, 15, 32, 0.39
40, 9.0, 1, 5, 15, 32, 0.567352941176
40, 10.0, 1, 5, 15, 32, 0.712058823529
40, 9.0, 1, 8, 15, 32, 0.59
40, 3.0, 1, 17, 15, 32, 0.388529411765
40, 5.5, 1, 4, 15, 32, 0.4
40, 2.0, 1, 15, 15, 32, 0.377647058824
40, 3.5, 1, 15, 15, 32, 0.351764705882
40, 1.0, 1, 14, 15, 32, 0.388529411765
40, 5.5, 1, 10, 15, 32, 0.369117647059
40, 9.5, 1, 7, 15, 32, 0.662941176471
40, 4.5, 1, 7, 15, 32, 0.382058823529
40, 8.5, 1, 15, 15, 32, 0.537352941176
40, 4.5, 1, 4, 15, 32, 0.387941176471
40, 5.0, 1, 16, 15, 32, 0.393235294118
40, 8.5, 1, 6, 15, 32, 0.53
40, 1.5, 1, 13, 15, 32, 0.414705882353
40, 3.5, 1, 7, 15, 32, 0.398823529412
40, 5.5, 1, 20, 15, 32, 0.394411764706
